postal_code,postal_code_score
2370,334000.0
2322,334000.0
2570,335000.0
2220,335000.0
2221,335000.0
2222,335000.0
2223,335000.0
2560,335000.0
2580,335000.0
2590,335000.0
2801,335000.0
2812,335000.0
8000,335000.0
2811,335000.0
2870,335000.0
2820,335000.0
2830,335000.0
2860,335000.0
2861,335000.0
9890,335000.0
2880,335000.0
2890,335000.0
8670,339000.0
2845,340000.0
2840,340000.0
2630,340000.0
2660,340000.0
2650,340000.0
2850,340000.0
2640,340000.0
2900,340000.0
2550,340000.0
2920,340000.0
2940,340000.0
2960,340000.0
2627,340000.0
2970,340000.0
2980,340000.0
2990,340000.0
2910,340000.0
2620,340000.0
2390,340000.0
2547,340000.0
2020,340000.0
2030,340000.0
2040,340000.0
2050,340000.0
2070,340000.0
2150,340000.0
2160,340000.0
2180,340000.0
2110,340000.0
2242,340000.0
2243,340000.0
2520,340000.0
2530,340000.0
2531,340000.0
2540,340000.0
2240,340000.0
1300,350000.0
9810,365000.0
9070,365000.0
9800,365000.0
9930,365000.0
9180,365000.0
9090,365000.0
9080,365000.0
9052,365000.0
9931,365000.0
9050,365000.0
9042,365000.0
9041,365000.0
9040,365000.0
9032,365000.0
9031,365000.0
9030,365000.0
9820,365000.0
9051,365000.0
9830,365000.0
9185,365000.0
9840,365000.0
9910,365000.0
9881,365000.0
9880,365000.0
9920,365000.0
9950,365000.0
9831,365000.0
9921,365000.0
9940,365000.0
9860,365000.0
9932,365000.0
9850,365000.0
9870,365000.0
1210,369000.0
1081,369000.0
1160,369000.0
1130,369000.0
1120,369000.0
1083,369000.0
1082,369000.0
1060,369000.0
1170,369000.0
3000,370000.0
3191,375000.0
3300,375000.0
3294,375000.0
3212,375000.0
3211,375000.0
3293,375000.0
3290,375000.0
3210,375000.0
3473,375000.0
3118,375000.0
3111,375000.0
3110,375000.0
3080,375000.0
3078,375000.0
3071,375000.0
3070,375000.0
3061,375000.0
3060,375000.0
3054,375000.0
3053,375000.0
3052,375000.0
3051,375000.0
3050,375000.0
3040,375000.0
3020,375000.0
3018,375000.0
3012,375000.0
3010,375000.0
3001,375000.0
3320,375000.0
3321,375000.0
3350,375000.0
3360,375000.0
3190,375000.0
3150,375000.0
3461,375000.0
3460,375000.0
3454,375000.0
3450,375000.0
3140,375000.0
3440,375000.0
3130,375000.0
3404,375000.0
3401,375000.0
3200,375000.0
3201,375000.0
3471,375000.0
3470,375000.0
3472,375000.0
3271,375000.0
3400,375000.0
3391,375000.0
3202,375000.0
3270,375000.0
3128,375000.0
3120,375000.0
3390,375000.0
3221,375000.0
3384,375000.0
3220,375000.0
3381,375000.0
3380,375000.0
3370,375000.0
3272,375000.0
1301,379500.0
1390,379500.0
1450,379500.0
1404,379500.0
1421,379500.0
1428,379500.0
1430,379500.0
1435,379500.0
1440,379500.0
1457,379500.0
1402,379500.0
1460,379500.0
1470,379500.0
1471,379500.0
1472,379500.0
1473,379500.0
1474,379500.0
1476,379500.0
1490,379500.0
1461,379500.0
1495,379500.0
1401,379500.0
1380,379500.0
1310,379500.0
1315,379500.0
1320,379500.0
1325,379500.0
1330,379500.0
1331,379500.0
1332,379500.0
1340,379500.0
1341,379500.0
